folder_type,corpus_root,category,work_folder,pageid,work_title,display_title,page_title,author,times,juan_count,min_juan_index,max_juan_index,total_char_count_raw,total_char_count_clean,empty_juan_count,example_raw_path,example_clean_path
clean,中國漢文,三國,佛說不思議功德諸佛所護念經,,佛說不思議功德諸佛所護念經,佛說不思議功德諸佛所護念經,佛說不思議功德諸佛所護念經/卷01,,,2,1,2,13129,13124,0,中國漢文\raw\三國\佛說不思議功德諸佛所護念經\佛說不思議功德諸佛所護念經__juan_01.txt,中國漢文\clean\三國\佛說不思議功德諸佛所護念經\佛說不思議功德諸佛所護念經__juan_01.txt
clean,中國漢文,三國,佛說不自守意經,,佛說不自守意經,佛說不自守意經,佛說不自守意經,,,1,1,1,421,384,0,中國漢文\raw\三國\佛說不自守意經\佛說不自守意經__juan_01.txt,中國漢文\clean\三國\佛說不自守意經\佛說不自守意經__juan_01.txt
clean,中國漢文,三國,佛說九色鹿經 (支謙譯本一),,佛說九色鹿經 (支謙譯本一),佛說九色鹿經 (支謙譯本一),佛說九色鹿經 (支謙譯本一),,,1,1,1,1203,1166,0,中國漢文\raw\三國\佛說九色鹿經 (支謙譯本一)\佛說九色鹿經 (支謙譯本一)__juan_01.txt,中國漢文\clean\三國\佛說九色鹿經 (支謙譯本一)\佛說九色鹿經 (支謙譯本一)__juan_01.txt
clean,中國漢文,三國,佛說九色鹿經 (支謙譯本二),,佛說九色鹿經 (支謙譯本二),佛說九色鹿經 (支謙譯本二),佛說九色鹿經 (支謙譯本二),,,1,1,1,1259,1222,0,中國漢文\raw\三國\佛說九色鹿經 (支謙譯本二)\佛說九色鹿經 (支謙譯本二)__juan_01.txt,中國漢文\clean\三國\佛說九色鹿經 (支謙譯本二)\佛說九色鹿經 (支謙譯本二)__juan_01.txt
clean,中國漢文,三國,佛說佛醫經,,佛說佛醫經,佛說佛醫經,佛說佛醫經,,,1,1,1,2164,2123,0,中國漢文\raw\三國\佛說佛醫經\佛說佛醫經__juan_01.txt,中國漢文\clean\三國\佛說佛醫經\佛說佛醫經__juan_01.txt
clean,中國漢文,三國,佛說八吉祥神咒經,,佛說八吉祥神咒經,佛說八吉祥神咒經,佛說八吉祥神咒經,,,1,1,1,1428,1391,0,中國漢文\raw\三國\佛說八吉祥神咒經\佛說八吉祥神咒經__juan_01.txt,中國漢文\clean\三國\佛說八吉祥神咒經\佛說八吉祥神咒經__juan_01.txt
clean,中國漢文,三國,佛說八師經,,佛說八師經,佛說八師經,佛說八師經,,,1,1,1,1880,1826,0,中國漢文\raw\三國\佛說八師經\佛說八師經__juan_01.txt,中國漢文\clean\三國\佛說八師經\佛說八師經__juan_01.txt
clean,中國漢文,三國,佛說四願經,,佛說四願經,佛說四願經,佛說四願經,,,1,1,1,2417,2380,0,中國漢文\raw\三國\佛說四願經\佛說四願經__juan_01.txt,中國漢文\clean\三國\佛說四願經\佛說四願經__juan_01.txt
clean,中國漢文,三國,佛說大安般守意經,,佛說大安般守意經,佛說大安般守意經,佛說大安般守意經/卷01,,,3,1,3,17996,17994,0,中國漢文\raw\三國\佛說大安般守意經\佛說大安般守意經__juan_01.txt,中國漢文\clean\三國\佛說大安般守意經\佛說大安般守意經__juan_01.txt
clean,中國漢文,三國,佛說太子瑞應本起經,,佛說太子瑞應本起經,佛說太子瑞應本起經,佛說太子瑞應本起經/卷上,,,2,1,2,17149,17123,0,中國漢文\raw\三國\佛說太子瑞應本起經\佛說太子瑞應本起經__juan_01.txt,中國漢文\clean\三國\佛說太子瑞應本起經\佛說太子瑞應本起經__juan_01.txt
clean,中國漢文,三國,佛說孛經抄,,佛說孛經抄,佛說孛經抄,佛說孛經抄,,,1,1,1,10520,10473,0,中國漢文\raw\三國\佛說孛經抄\佛說孛經抄__juan_01.txt,中國漢文\clean\三國\佛說孛經抄\佛說孛經抄__juan_01.txt
clean,中國漢文,三國,佛說孫多耶致經,,佛說孫多耶致經,佛說孫多耶致經,佛說孫多耶致經,,,1,1,1,1183,1146,0,中國漢文\raw\三國\佛說孫多耶致經\佛說孫多耶致經__juan_01.txt,中國漢文\clean\三國\佛說孫多耶致經\佛說孫多耶致經__juan_01.txt
clean,中國漢文,三國,佛說慧印三昧經,,佛說慧印三昧經,佛說慧印三昧經,佛說慧印三昧經,,,1,1,1,10839,10799,0,中國漢文\raw\三國\佛說慧印三昧經\佛說慧印三昧經__juan_01.txt,中國漢文\clean\三國\佛說慧印三昧經\佛說慧印三昧經__juan_01.txt
clean,中國漢文,三國,佛說摩訶迦羅大黑天神大福德圓滿陀羅尼經,,佛說摩訶迦羅大黑天神大福德圓滿陀羅尼經,佛說摩訶迦羅大黑天神大福德圓滿陀羅尼經,佛說摩訶迦羅大黑天神大福德圓滿陀羅尼經,,,1,1,1,470,433,0,中國漢文\raw\三國\佛說摩訶迦羅大黑天神大福德圓滿陀羅尼經\佛說摩訶迦羅大黑天神大福德圓滿陀羅尼經__juan_01.txt,中國漢文\clean\三國\佛說摩訶迦羅大黑天神大福德圓滿陀羅尼經\佛說摩訶迦羅大黑天神大福德圓滿陀羅尼經__juan_01.txt
clean,中國漢文,三國,佛說月明菩薩經,,佛說月明菩薩經,佛說月明菩薩經,佛說月明菩薩經,,,1,1,1,1588,1540,0,中國漢文\raw\三國\佛說月明菩薩經\佛說月明菩薩經__juan_01.txt,中國漢文\clean\三國\佛說月明菩薩經\佛說月明菩薩經__juan_01.txt
clean,中國漢文,三國,佛說未生冤經,,佛說未生冤經,佛說未生冤經,佛說未生冤經,,,1,1,1,1831,1782,0,中國漢文\raw\三國\佛說未生冤經\佛說未生冤經__juan_01.txt,中國漢文\clean\三國\佛說未生冤經\佛說未生冤經__juan_01.txt
clean,中國漢文,三國,佛說梵網六十二見經,,佛說梵網六十二見經,佛說梵網六十二見經,佛說梵網六十二見經,,,1,1,1,11093,11056,0,中國漢文\raw\三國\佛說梵網六十二見經\佛說梵網六十二見經__juan_01.txt,中國漢文\clean\三國\佛說梵網六十二見經\佛說梵網六十二見經__juan_01.txt
clean,中國漢文,三國,佛說法律三昧經,,佛說法律三昧經,佛說法律三昧經,佛說法律三昧經,,,1,1,1,3976,3939,0,中國漢文\raw\三國\佛說法律三昧經\佛說法律三昧經__juan_01.txt,中國漢文\clean\三國\佛說法律三昧經\佛說法律三昧經__juan_01.txt
clean,中國漢文,三國,佛說犢子經,,佛說犢子經,佛說犢子經,佛說犢子經,,,1,1,1,861,808,0,中國漢文\raw\三國\佛說犢子經\佛說犢子經__juan_01.txt,中國漢文\clean\三國\佛說犢子經\佛說犢子經__juan_01.txt
clean,中國漢文,三國,佛說猘狗經,,佛說猘狗經,佛說猘狗經,佛說猘狗經,,,1,1,1,988,951,0,中國漢文\raw\三國\佛說猘狗經\佛說猘狗經__juan_01.txt,中國漢文\clean\三國\佛說猘狗經\佛說猘狗經__juan_01.txt
clean,中國漢文,三國,佛說維摩詰經,,佛說維摩詰經,佛說維摩詰經,佛說維摩詰經/卷01,,,2,1,2,30581,30561,0,中國漢文\raw\三國\佛說維摩詰經\佛說維摩詰經__juan_01.txt,中國漢文\clean\三國\佛說維摩詰經\佛說維摩詰經__juan_01.txt
clean,中國漢文,三國,佛說老女人經,,佛說老女人經,佛說老女人經,佛說老女人經,,,1,1,1,1057,1014,0,中國漢文\raw\三國\佛說老女人經\佛說老女人經__juan_01.txt,中國漢文\clean\三國\佛說老女人經\佛說老女人經__juan_01.txt
clean,中國漢文,三國,佛說蓱沙王五願經,,佛說蓱沙王五願經,佛說蓱沙王五願經,佛說蓱沙王五願經,,,1,1,1,3651,3614,0,中國漢文\raw\三國\佛說蓱沙王五願經\佛說蓱沙王五願經__juan_01.txt,中國漢文\clean\三國\佛說蓱沙王五願經\佛說蓱沙王五願經__juan_01.txt
clean,中國漢文,三國,佛說諸法本經,,佛說諸法本經,佛說諸法本經,佛說諸法本經,,,1,1,1,465,426,0,中國漢文\raw\三國\佛說諸法本經\佛說諸法本經__juan_01.txt,中國漢文\clean\三國\佛說諸法本經\佛說諸法本經__juan_01.txt
clean,中國漢文,三國,佛說賴吒和羅經,,佛說賴吒和羅經,佛說賴吒和羅經,佛說賴吒和羅經,,,1,1,1,5673,5630,0,中國漢文\raw\三國\佛說賴吒和羅經\佛說賴吒和羅經__juan_01.txt,中國漢文\clean\三國\佛說賴吒和羅經\佛說賴吒和羅經__juan_01.txt
clean,中國漢文,三國,佛說釋摩男本四子經,,佛說釋摩男本四子經,佛說釋摩男本四子經,佛說釋摩男本四子經,,,1,1,1,1984,1947,0,中國漢文\raw\三國\佛說釋摩男本四子經\佛說釋摩男本四子經__juan_01.txt,中國漢文\clean\三國\佛說釋摩男本四子經\佛說釋摩男本四子經__juan_01.txt
clean,中國漢文,三國,佛說長者音悅經,,佛說長者音悅經,佛說長者音悅經,佛說長者音悅經,,,1,1,1,2705,2662,0,中國漢文\raw\三國\佛說長者音悅經\佛說長者音悅經__juan_01.txt,中國漢文\clean\三國\佛說長者音悅經\佛說長者音悅經__juan_01.txt
clean,中國漢文,三國,佛說阿難四事經,,佛說阿難四事經,佛說阿難四事經,佛說阿難四事經,,,1,1,1,1893,1856,0,中國漢文\raw\三國\佛說阿難四事經\佛說阿難四事經__juan_01.txt,中國漢文\clean\三國\佛說阿難四事經\佛說阿難四事經__juan_01.txt
clean,中國漢文,三國,佛說須摩提長者經,,佛說須摩提長者經,佛說須摩提長者經,佛說須摩提長者經,,,1,1,1,4307,4268,0,中國漢文\raw\三國\佛說須摩提長者經\佛說須摩提長者經__juan_01.txt,中國漢文\clean\三國\佛說須摩提長者經\佛說須摩提長者經__juan_01.txt
clean,中國漢文,三國,佛說須賴經 (白延譯),,佛說須賴經 (白延譯),佛說須賴經 (白延譯),佛說須賴經 (白延譯),,,1,1,1,7098,7056,0,中國漢文\raw\三國\佛說須賴經 (白延譯)\佛說須賴經 (白延譯)__juan_01.txt,中國漢文\clean\三國\佛說須賴經 (白延譯)\佛說須賴經 (白延譯)__juan_01.txt
clean,中國漢文,三國,佛說黑氏梵志經,,佛說黑氏梵志經,佛說黑氏梵志經,佛說黑氏梵志經,,,1,1,1,1629,1592,0,中國漢文\raw\三國\佛說黑氏梵志經\佛說黑氏梵志經__juan_01.txt,中國漢文\clean\三國\佛說黑氏梵志經\佛說黑氏梵志經__juan_01.txt
clean,中國漢文,三國,佛說齋經,,佛說齋經,佛說齋經,佛說齋經,,,1,1,1,1911,1874,0,中國漢文\raw\三國\佛說齋經\佛說齋經__juan_01.txt,中國漢文\clean\三國\佛說齋經\佛說齋經__juan_01.txt
clean,中國漢文,三國,佛說龍施女經,,佛說龍施女經,佛說龍施女經,佛說龍施女經,,,1,1,1,1045,1008,0,中國漢文\raw\三國\佛說龍施女經\佛說龍施女經__juan_01.txt,中國漢文\clean\三國\佛說龍施女經\佛說龍施女經__juan_01.txt
clean,中國漢文,三國,佛開解梵志阿颰經,,佛開解梵志阿颰經,佛開解梵志阿颰經,佛開解梵志阿颰經,,,1,1,1,7712,7666,0,中國漢文\raw\三國\佛開解梵志阿颰經\佛開解梵志阿颰經__juan_01.txt,中國漢文\clean\三國\佛開解梵志阿颰經\佛開解梵志阿颰經__juan_01.txt
clean,中國漢文,三國,侍五官中郎將建章臺集詩,,侍五官中郎將建章臺集詩,侍五官中郎將建章臺集詩,侍五官中郎將建章臺集詩,,,1,1,1,236,199,0,中國漢文\raw\三國\侍五官中郎將建章臺集詩\侍五官中郎將建章臺集詩__juan_01.txt,中國漢文\clean\三國\侍五官中郎將建章臺集詩\侍五官中郎將建章臺集詩__juan_01.txt
clean,中國漢文,三國,全三國文,,全三國文,全三國文,全三國文/卷1,,,76,1,76,519715,511800,0,中國漢文\raw\三國\全三國文\全三國文__juan_01.txt,中國漢文\clean\三國\全三國文\全三國文__juan_01.txt
clean,中國漢文,三國,公讌 (應瑒),,公讌 (應瑒),公讌 (應瑒),公讌 (應瑒),,,1,1,1,128,91,0,中國漢文\raw\三國\公讌 (應瑒)\公讌 (應瑒)__juan_01.txt,中國漢文\clean\三國\公讌 (應瑒)\公讌 (應瑒)__juan_01.txt
clean,中國漢文,三國,六度集經,,六度集經,六度集經,六度集經/01,,,8,1,8,81341,81304,0,中國漢文\raw\三國\六度集經\六度集經__juan_01.txt,中國漢文\clean\三國\六度集經\六度集經__juan_01.txt
clean,中國漢文,三國,典语,,典语,典语,典语/全览,,,10,1,10,6923,6887,0,中國漢文\raw\三國\典语\典语__juan_01.txt,中國漢文\clean\三國\典语\典语__juan_01.txt
clean,中國漢文,三國,別詩 (應瑒),,別詩 (應瑒),別詩 (應瑒),別詩 (應瑒),,,1,1,1,154,117,0,中國漢文\raw\三國\別詩 (應瑒)\別詩 (應瑒)__juan_01.txt,中國漢文\clean\三國\別詩 (應瑒)\別詩 (應瑒)__juan_01.txt
clean,中國漢文,三國,前出師表,,前出師表,前出師表,前出師表,,,1,1,1,856,780,0,中國漢文\raw\三國\前出師表\前出師表__juan_01.txt,中國漢文\clean\三國\前出師表\前出師表__juan_01.txt
clean,中國漢文,三國,劉公幹集,,劉公幹集,劉公幹集,劉公幹集/內文,,,2,1,2,3326,3248,0,中國漢文\raw\三國\劉公幹集\劉公幹集__juan_01.txt,中國漢文\clean\三國\劉公幹集\劉公幹集__juan_01.txt
clean,中國漢文,三國,劾曹爽奏,,劾曹爽奏,劾曹爽奏,劾曹爽奏,,,1,1,1,494,413,0,中國漢文\raw\三國\劾曹爽奏\劾曹爽奏__juan_01.txt,中國漢文\clean\三國\劾曹爽奏\劾曹爽奏__juan_01.txt
clean,中國漢文,三國,勸將士勤攻己闕教,,勸將士勤攻己闕教,勸將士勤攻己闕教,勸將士勤攻己闕教,,,1,1,1,271,234,0,中國漢文\raw\三國\勸將士勤攻己闕教\勸將士勤攻己闕教__juan_01.txt,中國漢文\clean\三國\勸將士勤攻己闕教\勸將士勤攻己闕教__juan_01.txt
clean,中國漢文,三國,南征教,,南征教,南征教,南征教,,,1,1,1,136,52,0,中國漢文\raw\三國\南征教\南征教__juan_01.txt,中國漢文\clean\三國\南征教\南征教__juan_01.txt
clean,中國漢文,三國,又稱蔣琬,,又稱蔣琬,又稱蔣琬,又稱蔣琬,,,1,1,1,139,57,0,中國漢文\raw\三國\又稱蔣琬\又稱蔣琬__juan_01.txt,中國漢文\clean\三國\又稱蔣琬\又稱蔣琬__juan_01.txt
clean,中國漢文,三國,周易正義,,周易正義,周易正義,周易正義/01乾,,,98,1,98,282979,279269,0,中國漢文\raw\三國\周易正義\周易正義__juan_01.txt,中國漢文\clean\三國\周易正義\周易正義__juan_01.txt
clean,中國漢文,三國,報趙淑麗,,報趙淑麗,報趙淑麗,報趙淑麗,,,1,1,1,108,71,0,中國漢文\raw\三國\報趙淑麗\報趙淑麗__juan_01.txt,中國漢文\clean\三國\報趙淑麗\報趙淑麗__juan_01.txt
clean,中國漢文,三國,報龐惠恭書,,報龐惠恭書,報龐惠恭書,報龐惠恭書,,,1,1,1,265,228,0,中國漢文\raw\三國\報龐惠恭書\報龐惠恭書__juan_01.txt,中國漢文\clean\三國\報龐惠恭書\報龐惠恭書__juan_01.txt
clean,中國漢文,三國,大明度經,,大明度經,大明度經,大明度經/卷第一,,,6,1,6,54973,54707,0,中國漢文\raw\三國\大明度經\大明度經__juan_01.txt,中國漢文\clean\三國\大明度經\大明度經__juan_01.txt
clean,中國漢文,三國,大暑賦 (劉楨),,大暑賦 (劉楨),大暑賦 (劉楨),大暑賦 (劉楨),,,1,1,1,179,142,0,中國漢文\raw\三國\大暑賦 (劉楨)\大暑賦 (劉楨)__juan_01.txt,中國漢文\clean\三國\大暑賦 (劉楨)\大暑賦 (劉楨)__juan_01.txt
clean,中國漢文,三國,失題 (劉楨),,失題 (劉楨),失題 (劉楨),失題 (劉楨),,,1,1,1,164,127,0,中國漢文\raw\三國\失題 (劉楨)\失題 (劉楨)__juan_01.txt,中國漢文\clean\三國\失題 (劉楨)\失題 (劉楨)__juan_01.txt
clean,中國漢文,三國,奕勢,,奕勢,奕勢,奕勢,,,1,1,1,431,394,0,中國漢文\raw\三國\奕勢\奕勢__juan_01.txt,中國漢文\clean\三國\奕勢\奕勢__juan_01.txt
clean,中國漢文,三國,射鳶,,射鳶,射鳶,射鳶,,,1,1,1,128,91,0,中國漢文\raw\三國\射鳶\射鳶__juan_01.txt,中國漢文\clean\三國\射鳶\射鳶__juan_01.txt
clean,中國漢文,三國,弊魔試目連經,,弊魔試目連經,弊魔試目連經,弊魔試目連經,,,1,1,1,2869,2783,0,中國漢文\raw\三國\弊魔試目連經\弊魔試目連經__juan_01.txt,中國漢文\clean\三國\弊魔試目連經\弊魔試目連經__juan_01.txt
clean,中國漢文,三國,征賦,,征賦,征賦,征賦,,,1,1,1,167,130,0,中國漢文\raw\三國\征賦\征賦__juan_01.txt,中國漢文\clean\三國\征賦\征賦__juan_01.txt
clean,中國漢文,三國,復弟孚書,,復弟孚書,復弟孚書,復弟孚書,,,1,1,1,120,39,0,中國漢文\raw\三國\復弟孚書\復弟孚書__juan_01.txt,中國漢文\clean\三國\復弟孚書\復弟孚書__juan_01.txt
clean,中國漢文,三國,惟日雜難經,,惟日雜難經,惟日雜難經,惟日雜難經,,,1,1,1,7550,7507,0,中國漢文\raw\三國\惟日雜難經\惟日雜難經__juan_01.txt,中國漢文\clean\三國\惟日雜難經\惟日雜難經__juan_01.txt
clean,中國漢文,三國,愁霖賦 (應瑒),,愁霖賦 (應瑒),愁霖賦 (應瑒),愁霖賦 (應瑒),,,1,1,1,169,132,0,中國漢文\raw\三國\愁霖賦 (應瑒)\愁霖賦 (應瑒)__juan_01.txt,中國漢文\clean\三國\愁霖賦 (應瑒)\愁霖賦 (應瑒)__juan_01.txt
clean,中國漢文,三國,慜驥賦,,慜驥賦,慜驥賦,慜驥賦,,,1,1,1,293,256,0,中國漢文\raw\三國\慜驥賦\慜驥賦__juan_01.txt,中國漢文\clean\三國\慜驥賦\慜驥賦__juan_01.txt
clean,中國漢文,三國,應休璉集,,應休璉集,應休璉集,應休璉集,,,1,1,1,3267,3220,0,中國漢文\raw\三國\應休璉集\應休璉集__juan_01.txt,中國漢文\clean\三國\應休璉集\應休璉集__juan_01.txt
clean,中國漢文,三國,應德璉集,,應德璉集,應德璉集,應德璉集/內文,,,1,1,1,3454,3415,0,中國漢文\raw\三國\應德璉集\應德璉集__juan_01.txt,中國漢文\clean\三國\應德璉集\應德璉集__juan_01.txt
clean,中國漢文,三國,教,,教,教,教,,,1,1,1,279,242,0,中國漢文\raw\三國\教\教__juan_01.txt,中國漢文\clean\三國\教\教__juan_01.txt
clean,中國漢文,三國,文質論 (應瑒),,文質論 (應瑒),文質論 (應瑒),文質論 (應瑒),,,1,1,1,645,608,0,中國漢文\raw\三國\文質論 (應瑒)\文質論 (應瑒)__juan_01.txt,中國漢文\clean\三國\文質論 (應瑒)\文質論 (應瑒)__juan_01.txt
clean,中國漢文,三國,梵摩渝經,,梵摩渝經,梵摩渝經,梵摩渝經,,,1,1,1,4819,4769,0,中國漢文\raw\三國\梵摩渝經\梵摩渝經__juan_01.txt,中國漢文\clean\三國\梵摩渝經\梵摩渝經__juan_01.txt
clean,中國漢文,三國,楊柳賦,,楊柳賦,楊柳賦,楊柳賦,,,1,1,1,124,87,0,中國漢文\raw\三國\楊柳賦\楊柳賦__juan_01.txt,中國漢文\clean\三國\楊柳賦\楊柳賦__juan_01.txt
clean,中國漢文,三國,檄文,,檄文,檄文,檄文,,,1,1,1,78,41,0,中國漢文\raw\三國\檄文\檄文__juan_01.txt,中國漢文\clean\三國\檄文\檄文__juan_01.txt
clean,中國漢文,三國,正情賦,,正情賦,正情賦,正情賦,,,1,1,1,350,313,0,中國漢文\raw\三國\正情賦\正情賦__juan_01.txt,中國漢文\clean\三國\正情賦\正情賦__juan_01.txt
clean,中國漢文,三國,步騭諫吳主孫權疏,,步騭諫吳主孫權疏,步騭諫吳主孫權疏,步騭諫吳主孫權疏,,,1,1,1,668,631,0,中國漢文\raw\三國\步騭諫吳主孫權疏\步騭諫吳主孫權疏__juan_01.txt,中國漢文\clean\三國\步騭諫吳主孫權疏\步騭諫吳主孫權疏__juan_01.txt
clean,中國漢文,三國,清慮賦,,清慮賦,清慮賦,清慮賦,,,1,1,1,104,67,0,中國漢文\raw\三國\清慮賦\清慮賦__juan_01.txt,中國漢文\clean\三國\清慮賦\清慮賦__juan_01.txt
clean,中國漢文,三國,漢嘉金書,,漢嘉金書,漢嘉金書,漢嘉金書,,,1,1,1,111,27,0,中國漢文\raw\三國\漢嘉金書\漢嘉金書__juan_01.txt,中國漢文\clean\三國\漢嘉金書\漢嘉金書__juan_01.txt
clean,中國漢文,三國,為武帝與劉備書,,為武帝與劉備書,為武帝與劉備書,為武帝與劉備書,,,1,1,1,78,41,0,中國漢文\raw\三國\為武帝與劉備書\為武帝與劉備書__juan_01.txt,中國漢文\clean\三國\為武帝與劉備書\為武帝與劉備書__juan_01.txt
clean,中國漢文,三國,爵封田疇令,,爵封田疇令,爵封田疇令,爵封田疇令,,,1,1,1,283,246,0,中國漢文\raw\三國\爵封田疇令\爵封田疇令__juan_01.txt,中國漢文\clean\三國\爵封田疇令\爵封田疇令__juan_01.txt
clean,中國漢文,三國,瓜賦 (劉楨),,瓜賦 (劉楨),瓜賦 (劉楨),瓜賦 (劉楨),,,1,1,1,247,210,0,中國漢文\raw\三國\瓜賦 (劉楨)\瓜賦 (劉楨)__juan_01.txt,中國漢文\clean\三國\瓜賦 (劉楨)\瓜賦 (劉楨)__juan_01.txt
clean,中國漢文,三國,祀六宗議,,祀六宗議,祀六宗議,祀六宗議,,,1,1,1,162,124,0,中國漢文\raw\三國\祀六宗議\祀六宗議__juan_01.txt,中國漢文\clean\三國\祀六宗議\祀六宗議__juan_01.txt
clean,中國漢文,三國,私呵昧經,,私呵昧經,私呵昧經,私呵昧經,,,1,1,1,5894,5855,0,中國漢文\raw\三國\私呵昧經\私呵昧經__juan_01.txt,中國漢文\clean\三國\私呵昧經\私呵昧經__juan_01.txt
clean,中國漢文,三國,稱姚伷教,,稱姚伷教,稱姚伷教,稱姚伷教,,,1,1,1,207,169,0,中國漢文\raw\三國\稱姚伷教\稱姚伷教__juan_01.txt,中國漢文\clean\三國\稱姚伷教\稱姚伷教__juan_01.txt
clean,中國漢文,三國,稱殷禮,,稱殷禮,稱殷禮,稱殷禮,,,1,1,1,108,27,0,中國漢文\raw\三國\稱殷禮\稱殷禮__juan_01.txt,中國漢文\clean\三國\稱殷禮\稱殷禮__juan_01.txt
clean,中國漢文,三國,稱董厥,,稱董厥,稱董厥,稱董厥,,,1,1,1,121,39,0,中國漢文\raw\三國\稱董厥\稱董厥__juan_01.txt,中國漢文\clean\三國\稱董厥\稱董厥__juan_01.txt
clean,中國漢文,三國,稱蔣琬,,稱蔣琬,稱蔣琬,稱蔣琬,,,1,1,1,117,35,0,中國漢文\raw\三國\稱蔣琬\稱蔣琬__juan_01.txt,中國漢文\clean\三國\稱蔣琬\稱蔣琬__juan_01.txt
clean,中國漢文,三國,稱龐統廖立,,稱龐統廖立,稱龐統廖立,稱龐統廖立,,,1,1,1,119,37,0,中國漢文\raw\三國\稱龐統廖立\稱龐統廖立__juan_01.txt,中國漢文\clean\三國\稱龐統廖立\稱龐統廖立__juan_01.txt
clean,中國漢文,三國,笑林,,笑林,笑林,笑林,,,1,1,1,3012,3003,0,中國漢文\raw\三國\笑林\笑林__juan_01.txt,中國漢文\clean\三國\笑林\笑林__juan_01.txt
clean,中國漢文,三國,答太子書,,答太子書,答太子書,答太子書,,,1,1,1,248,211,0,中國漢文\raw\三國\答太子書\答太子書__juan_01.txt,中國漢文\clean\三國\答太子書\答太子書__juan_01.txt
clean,中國漢文,三國,答惜赦,,答惜赦,答惜赦,答惜赦,,,1,1,1,173,135,0,中國漢文\raw\三國\答惜赦\答惜赦__juan_01.txt,中國漢文\clean\三國\答惜赦\答惜赦__juan_01.txt
clean,中國漢文,三國,答韓文憲書,,答韓文憲書,答韓文憲書,答韓文憲書,,,1,1,1,169,132,0,中國漢文\raw\三國\答韓文憲書\答韓文憲書__juan_01.txt,中國漢文\clean\三國\答韓文憲書\答韓文憲書__juan_01.txt
clean,中國漢文,三國,策諸葛丞相詔,,策諸葛丞相詔,策諸葛丞相詔,策諸葛丞相詔,,,1,1,1,184,103,0,中國漢文\raw\三國\策諸葛丞相詔\策諸葛丞相詔__juan_01.txt,中國漢文\clean\三國\策諸葛丞相詔\策諸葛丞相詔__juan_01.txt
clean,中國漢文,三國,聲無哀樂論,,聲無哀樂論,聲無哀樂論,聲無哀樂論,,,1,1,1,6843,6806,0,中國漢文\raw\三國\聲無哀樂論\聲無哀樂論__juan_01.txt,中國漢文\clean\三國\聲無哀樂論\聲無哀樂論__juan_01.txt
