char_index	inserted	raw_char	raw_codepoint	reason	page	context
72	□	e	U+0065	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
73	□	e	U+0065	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
75	□	t	U+0074	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
76	□	o	U+006F	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
77	□	o	U+006F	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
79	□	S	U+0053	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
80	□	c	U+0063	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
81	□	h	U+0068	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
82	□	u	U+0075	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
83	□	e	U+0065	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
84	□	s	U+0073	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
85	□	s	U+0073	disallowed_or_image_glyph	207	1.140-154) says 發is synonymous with she 射 “to shoot [with bow and arrow]”; see t
