item	source_name	source_url	status	proposed_region_or_polity	text_kind	note
20	Portrait_of_Yinli,_Prince_Guo.jpg	https://commons.wikimedia.org/wiki/File:Portrait_of_Yinli,_Prince_Guo.jpg	review_queue	大清	自題詩	草書原文再校待ち。
21	Portrait_of_Yu_Chenglong.jpg	https://commons.wikimedia.org/wiki/File:Portrait_of_Yu_Chenglong.jpg	promoted	大清	corpus_work	贈于成龍祖父于準光祿大夫誥命
22	楊洪.jpg	https://commons.wikimedia.org/wiki/File:%E6%A5%8A%E6%B4%AA.jpg	promoted	大明	corpus_work	潁國武襄公楊洪畫像贊
23	Emperor_Hanazono_large.jpg	https://commons.wikimedia.org/wiki/File:Emperor_Hanazono_large.jpg	promoted	山城国	corpus_work	花園天皇像自記
24	Taiyou_Zenji_Zou,_Choko-ji_Temple_Toyota.jpg	https://commons.wikimedia.org/wiki/File:Taiyou_Zenji_Zou,_Choko-ji_Temple_Toyota.jpg	review_queue	三河国	禅僧像賛	退色。
25	Daitsu_Zenji_(Buttsuji_Mihara).jpeg	https://commons.wikimedia.org/wiki/File:Daitsu_Zenji_(Buttsuji_Mihara).jpeg	transcription_required	備後国	禅僧像賛	佛通寺の大通禅師像。
26	Ikkyu_(Tokiwayama_Bunko).jpg	https://commons.wikimedia.org/wiki/File:Ikkyu_(Tokiwayama_Bunko).jpg	transcription_required	山城国	禅僧像賛	一休像。賛者と本文の同定が必要。
27	伊達政宗夫妻肖像.jpg	https://commons.wikimedia.org/wiki/File:%E4%BC%8A%E9%81%94%E6%94%BF%E5%AE%97%E5%A4%AB%E5%A6%BB%E8%82%96%E5%83%8F.jpg	transcription_required	陸奥国／仙台藩	夫妻肖像題賛	左右の像と賛を別文書として扱う可能性。
28	Brooklyn_Museum_-_God_of_Kiyomasa.jpg	https://commons.wikimedia.org/wiki/File:Brooklyn_Museum_-_God_of_Kiyomasa.jpg	mixed_text	武蔵国	神格化肖像題記	清正公信仰の後世作品。漢文単位を日本語詞書から切り出す。
29	繪本朝鮮征伐記_李舜臣_加藤清正_(cropped).jpg	https://commons.wikimedia.org/wiki/File:%E7%B9%AA%E6%9C%AC%E6%9C%9D%E9%AE%AE%E5%BE%81%E4%BC%90%E8%A8%98_%E6%9D%8E%E8%88%9C%E8%87%A3_%E5%8A%A0%E8%97%A4%E6%B8%85%E6%AD%A3_(cropped).jpg	mixed_japanese_with_kanbun_marks	武蔵国	絵本詞書	返り点・送り仮名付き。漢文底文と訓読補助を別レイヤー化。
30	繪本朝鮮征伐記_李舜臣_加藤清正.jpg	https://commons.wikimedia.org/wiki/File:%E7%B9%AA%E6%9C%AC%E6%9C%9D%E9%AE%AE%E5%BE%81%E4%BC%90%E8%A8%98_%E6%9D%8E%E8%88%9C%E8%87%A3_%E5%8A%A0%E8%97%A4%E6%B8%85%E6%AD%A3.jpg	same_work_full_image	武蔵国	絵本詞書	29の全図。重複登録せず同一 work の image variant とする。
31	Chinzei_Hachirō_Tametomo_by_Hokusai.jpg	https://commons.wikimedia.org/wiki/File:Chinzei_Hachir%C5%8D_Tametomo_by_Hokusai.jpg	mixed_japanese	武蔵国	浮世絵詞書	北斎。和文主体の可能性が高い。
32	Brooklyn_Museum_-_Minamoto_no_Yoshiie_Riding_on_a_Horse_(the_God_of_Hachiman).jpg	https://commons.wikimedia.org/wiki/File:Brooklyn_Museum_-_Minamoto_no_Yoshiie_Riding_on_a_Horse_(the_God_of_Hachiman).jpg	mixed_japanese	武蔵国	浮世絵詞書	後世の八幡神化像。
33	Honchō_Hyakushōden,_Minamoto_no_Yoshiie.jpg	https://commons.wikimedia.org/wiki/File:Honch%C5%8D_Hyakush%C5%8Dden,_Minamoto_no_Yoshiie.jpg	mixed_japanese	武蔵国	版本人物伝	『本朝百将伝』。漢文調本文の範囲を判定。
34	Kajikawa_Takahide.jpg	https://commons.wikimedia.org/wiki/File:Kajikawa_Takahide.jpg	transcription_required	未詳	家祖肖像銘	梶川高秀。系譜上の領地を同定してから配置。
35	Kajikawa_Takamori.jpg	https://commons.wikimedia.org/wiki/File:Kajikawa_Takamori.jpg	transcription_required	未詳	家祖肖像銘	梶川高盛。34と同一セットか確認。
36	横田内膳正村詮.jpg	https://commons.wikimedia.org/wiki/File:%E6%A8%AA%E7%94%B0%E5%86%85%E8%86%B3%E6%AD%A3%E6%9D%91%E8%A9%AE.jpg	transcription_required	未詳	画像賛	横田村詮。所領・伝来地を要確認。
37	The_Warrior_Minamoto_no_Yorimitsu_by_Shibata_Zeshin,_1880-1891,_Honolulu_Museum_of_Art.jpg	https://commons.wikimedia.org/wiki/File:The_Warrior_Minamoto_no_Yorimitsu_by_Shibata_Zeshin,_1880-1891,_Honolulu_Museum_of_Art.jpg	low_quality_review	武蔵国	画賛／題記	柴田是真。低品質画像の回復後に判定。
38	Masuda_Kanetaka_by_Sesshu.jpg	https://commons.wikimedia.org/wiki/File:Masuda_Kanetaka_by_Sesshu.jpg	review_queue	石見国	寿像賛	欠損を〓で保持。
39	Tokiwa_Gozen_-_Treasure_Hall,_Itsukushima_Shinto_Shrine_(Miyajima)_-_DSC02202.JPG	https://commons.wikimedia.org/wiki/File:Tokiwa_Gozen_-_Treasure_Hall,_Itsukushima_Shinto_Shrine_(Miyajima)_-_DSC02202.JPG	damaged_review	安芸国	肖像題賛	厳島神社宝物館本。破損部を復元せず別画像探索。
40	Painting_of_Chigo_Daishi_with_Goyuigo_Inscription,_15th_century.jpg	https://commons.wikimedia.org/wiki/File:Painting_of_Chigo_Daishi_with_Goyuigo_Inscription,_15th_century.jpg	faded_review	山城国	御遺告銘	一部重度退色。高品質画像なら回復可能。
41	Kuroda_Nagamasa.jpg	https://commons.wikimedia.org/wiki/File:Kuroda_Nagamasa.jpg	long_text_review	筑前国	画像賛・略伝	黒田長政。賛と林羅山略伝を別文書／別セクション化。
42	Nose_Yoritugu.jpg	https://commons.wikimedia.org/wiki/File:Nose_Yoritugu.jpg	long_text_review	摂津国要確認	画像賛・長文	能勢頼次。所領と所蔵由来を確認して地域決定。
43	Yoshida_Shouin.jpg	https://commons.wikimedia.org/wiki/File:Yoshida_Shouin.jpg	promoted	長門国	corpus_work	吉田松陰自賛肖像（吉田家本）
44	Dai_Nihon_Rokujūyoshō,_Tanba_Akechi_Hyūganokami_Mitsuhide_by_Yoshitora.jpg	https://upload.wikimedia.org/wikipedia/commons/3/36/Dai_Nihon_Rokuj%C5%AByosh%C5%8D%2C_Tanba_Akechi_Hy%C5%ABganokami_Mitsuhide_by_Yoshitora.jpg	mixed_japanese_with_kanbun	武蔵国	浮世絵人物伝	明智光秀。漢文引用と和文本文を分離。
45	No._9_Toki-uji_登喜氏_(BM_2008,3037.05636).jpg	https://upload.wikimedia.org/wikipedia/commons/e/e3/No._9_Toki-uji_%E7%99%BB%E5%96%9C%E6%B0%8F_%28BM_2008%2C3037.05636%29.jpg	mixed_japanese_with_wenyan_excerpt	武蔵国	浮世絵人物伝	明瞭な文言抜粋のみ corpus 候補。
46	Shogun-Tokugawa-Ieyasu.png	https://upload.wikimedia.org/wikipedia/commons/1/13/Shogun-Tokugawa-Ieyasu.png	no_substantial_hanwen	武蔵国	浮世絵人物伝	「三河英勇伝」。仮名交じり日本語主体で、独立漢文本文は認めにくい。
